major	no	after_prefix
玩转会议	7	会场上的“四个怎么样"有关会议场合的身体语言，我们已从上面几个侧面作了介绍。下面，再集中回答四个问题，作为这一节的结束。这四个问题，可以概括为“四个怎么样”。①怎么样使会议顺利进行?“……以上为今天会议所要求的报告及我的建议，不知各位是否有其他意见或任何问题，如果没有，那么今天的会议就到此结束，谢谢大家，散会。”如果会议能够像这样顺利结束，大约每回都会依据会议议题作形式化的报告或讨论，而后在毫无异议下顺利的结束会议。对于上述的会议情形而言，大多是在宽大的会议室中进行会议。因为，从身体语言学上说，在宽大的会议室中，与会者之间的距离自然会拉远，彼此之间有相当
玩转会议	8	不失发言好时机在开会讨论问题时，你发表的意见能不能引起强烈反响，并由此提高你在单位里的威望，这一方面与你发言所讲的内容有关，一般来说，道理深、见解新、表达清的发言，都能取得与会者的好评。但另一方面，也与你在发言时所掌握的时机有着密切的关系。在会议中提出意见的时机因人而异，有些人在会议开始时就立即发言，发言后便一直保持沉默，大多数人都习惯在会议讨论期间一直保持沉默不语的态度，直到会议即将结束时才开口“我的看法是……”，而有些人却在紧要开头时突然发表卓见，因而极易获得大家赞同。发言时机固然因会议进行状况、主持的影响力及与会者的开心等条件不同，而不可一概论之，
玩转会议	9	散会吧，听众厌烦了过去人们形容那些空洞无味的文章，是懒婆娘的裹脚布——又臭又长。其实，现在有些会议，也是又臭又长的。在这些又臭又长的会议上，你可以看到听众中出现许多表示“我已经厌烦了! ”的姿势。作为会议主持人或演讲者，注意观察听众的这些姿势，并了解其含义，是非常有益的。有经验的推销员都知道，当你口沫横飞地说了许多之后，顾客只是“半眯着眼”地听着，什么表情也没有，那么，你就趁早走人才是，因为客户对你说的东西没有产生兴趣。在会议上，特别是那种又臭又长的会，听众坐在那里觉得无聊，这种情况下，通常表现出三种“懒得听下去了”的姿势。第一种是半眯着眼。就是顾客对待
玩转路途	1	怎样“就坐"或“就站"在与他人接触时，或站或坐都有个离对方多远为宜的距离问题。中国人习惯把在他人旁边坐下称作“就坐”，由此，我们这里也可以把在他人旁边站着叫“就列”。无论是“就坐”一还是“就站”，都不能侵犯他人私人空间。那么，怎么才能防止侵犯他人私人空间同时自己的私人空间不被他人所侵犯呢?最重要的就是要有个“感觉礼仪”。我们对自己的侵犯行为的识别能力以及对别人侵犯的反应能力是建立在“感觉礼仪”的基础上的。在一个图书馆里或一家咖啡馆里，如果对别人的空间有所威胁，一般事先会发出一系列歉意信号，比如先用话语问道： “请问这个位置有人吗?”等到坐下去后，就本能地
玩转路途	2	人到底需要多大的私人空间当你读完以上内容，你会觉得掌握私人空间是很有意义的。同时，你也会提出这样的问题：人到底需要多大的私人空间?这个问题是必须回答但又是很难用一句话说清的。情人相见，抱在一起还嫌远，路人相见，擦肩而过都觉得太近。因此，人们在接触时私人空间的大小，在很多情况下是以他们的相互关系而定的。身体语言研究者们，正是从这个角度，对私人空间作了不同关系决定不同距离的分析。美国西北大学人类学教授爱德华·T·赫尔博士长期以来在积极研究人类对周围空间的反应，他发现了人是如何使用空间以及如何向他人传递有关信号的规律。赫尔教授在研究人的私人空间时创造了“人际空
玩转路途	3	社交空间，4．公共空间。很明显，这些空间就是指我们行动的各种地区。密切空间可以是近距离的，比如真正的人体接触就属这种空间；它也可以是远距离的，即保持 20 厘米至 60 厘米左右的间隔。密切空间的近距状态多出现在谈情说爱时，出现在知心朋友间，出现在父母及偎依着父母的孩子间或一起玩耍的孩子间。两个男子处在近距离密切空间中容易引起不安和不快，如果是一对十分亲昵的男女处在这种空间，则相互感到快慰自然。 要是不太熟悉的一男一女处在这种空间，则双方都觉得尴尬。在美国，两个妇女之间的近距密切空间是可以被社会所接受的，而在阿拉伯国家里，两个男子之间保持这种间隔也是十分
玩转路途	4	公共空间。很明显，这些空间就是指我们行动的各种地区。密切空间可以是近距离的，比如真正的人体接触就属这种空间；它也可以是远距离的，即保持 20 厘米至 60 厘米左右的间隔。密切空间的近距状态多出现在谈情说爱时，出现在知心朋友间，出现在父母及偎依着父母的孩子间或一起玩耍的孩子间。两个男子处在近距离密切空间中容易引起不安和不快，如果是一对十分亲昵的男女处在这种空间，则相互感到快慰自然。 要是不太熟悉的一男一女处在这种空间，则双方都觉得尴尬。在美国，两个妇女之间的近距密切空间是可以被社会所接受的，而在阿拉伯国家里，两个男子之间保持这种间隔也是十分普遍的。在阿拉
玩转路途	5	研究证明，鼻子也会“说话"人的鼻子有没有身体语言，学者们看法不一，有人说有，有人说没有。认为鼻子没有身体语言的理由是，鼻子本身是不能动作的身体，就象耳朵一样，因此，它们自身不能发出“姿势”信息，也就不可能有身体语言。至于用手摸鼻子和摸耳朵所发现的信息，应归为手的“语言”。与这种见解相反，有的学者坚持认为鼻子跟耳朵不同，耳朵确实不会动。就这一点，人不如有些动物，如狗遇到“风吹草动”就竖起耳朵，这表明有“情况”。人的耳朵是“死”的，它只能跟头动，而自己不会独立的动。但鼻子则不然，它可以自己动。比如，人们都很熟悉的“嗤之以鼻”这个词，实际上是有动作的，也就是说
玩转会客	1	兴致勃勃的歪脖子人的颈脖子到底有没有身体语言?这是身体语言学者们看法不同的问题之一。有人认为颈部是支撑头部作用的，所以颈部的身体语言，可以由头部来代表。但也有人主张把脖子单独看待，因为有时脖子要表达的信息是头部所代表不了的。还有人认为，头部的身体语言，应分解为脸的各部分，如眼眉、嘴巴、鼻子以及面部整体表情等。除此之外的头部整体动作，都应归为脖子，因为比如说转头，实际上是先转动脖子。还有，仰头和昂头都是先伸脖子，而低头则是脖子的前缩后伸来完成的。因此，应当把头部整体动作归为颈脖子的身体语言来看待。或许以上三种观点都各有自己的道理吧。我们这里是把脖子和头作为
玩转会客	2	口蜜腹剑与推心置腹如若你曾接待过许多访客，想必除了推心置腹者，也肯定会有口蜜腹剑之人。“口蜜腹剑”一词源于北宋司马光《资治通鉴》卷二百十五《唐纪三十一·玄宗天宝元年》。原文是：“李林甫为相，凡才望功业出已右及为上所厚，势位将逼已者，必百计去之，尤忌文学之士，或阳与之善，昭(啖)以甘言而阴陷之。世谓李林甫‘口有蜜，腹有剑’。”李林甫是唐玄宗李隆基时的兵部尚书，后任中书令，此人为人阴险奸诈，忌贤妒能，表面上与人为善，背地里进行谗陷。当时的宰相李适之受人称赞，李林甫便在李隆基眼前说他的坏话，以致被解除了官职权。李林甫还常用欺诈手法结交玄宗亲情的宦官、妃子，争取
玩转会客	3	心有所想，肢有所行有时会有这种情况，你有一件事要去拜见一下你的朋友。你到了朋友家，朋友热情地把你安排在会客厅里，边喝着茶水边谈事情。其实你的事很小，很快就谈完了，而且你下面还有别的事情要做，比如还要赶去谈一桩生意，或是还要去看另一家朋友。这时，你心里肯定是想走。但是，你的朋友并看不出你想走。你也不好明说。他干脆就不知道。于是，他就滔滔不绝地给你天南海北地侃大山。这时，你心里越来越急，越想走。这时候，你可能就要作些小动作了，当然是无意地做出的。比方说，把手指头板得咯咯响，屁股在椅子上不停地扭动，眨眼睛的次数明显增加，手在沙发扶手上轻轻拍打。有时，不同意对方
玩转会客	4	在不经意中露出了本性人的本性，既有天使的一面，也有野兽的一面。所以，人往往总想掩盖本性，但实际上是掩盖不住的。日本有一则短篇小说“手帕”，主角是一刚失去小孩的寡妇，原以为她是很伤心的，可是却看不出她表情特异之处，然而在无意间。瞥见桌上手帕揉得很乱，才知道她刚刚哭过了，可是她不愿说出。足见人的本性容易在细节上被看出。脸部的表情最容易显出心理的状态，人对脸部以下的四肢活动，反而较少在意，若要看出对方的个性可观察他细微的动作来印证。 有人和朋友聊天，发觉他似乎与平时不一样，仔细留意才发现他虽然在微笑，但在桌下的手脚却不时颤动，而此举与谈话内容并无关连。由此可证
玩转会客	5	笑脸变成了“逐客令”人的面部表情丰富多彩，据有的研究资料推测，一般人的面部表情达二百多种，可想而知，那些电影明星的面部表情就更多了。所以，有的书籍称：“脸部是人体中提供非语言感情传递最多的场所。”当然，也有人不同意这种观点，认为手是传递信息最多的。但持这种观点的人也不否认．有些脸部表情，是手无法传达的。如我们终日跟他人面面相对，在出语言之前，看对方脸色，大致均可了解其心理状态者。即是由于我们在不知不觉中，已接受有关察言“观色”的训练。脸部所流露的表情，毋需特意探究身体言语，也会直接看出对方心理，这乃是由于已融人日常生活之中。“看人脸色”一词听起来似乎不太
玩转会客	6	无心谈话便“打岔"在会谈中，一方由于紧张或没有了谈话兴趣常常会做出一些打岔的动作，以打扰或打断对方的话题。当然，有时为了急于插话，也会做出一些打岔的动作，使对方停下来听他说。打岔常用的动作很多，这里谈的是最主要的几种。一是玩弄小物品。打岔动作的常见者即是用手玩弄身边物件的动作，这是紧张心理之表现。 尤其是跟初见面之人碰面时，不分男女都会用手把玩火柴盒、打火机或折叠毛巾之类，借以缓和内心的紧张。还有，在女方家提亲时，有些女性不胜害羞便做出扯椅垫绒毛之类的动作。现在，男女关系比较开放，纵或跟男性同坐，而用手玩弄小东西的女性似乎已经不太常见。问题在于为解除紧张
玩转会客	7	心不在焉乱点头“心不在焉”一语见于《礼记》载《大学》。书中写道：“心不在焉，视而不见，听而不闻，食而不知其味。此谓修身在正其心。”《大学》是儒家经典之一，传为秦汉时期，儒家之作。原为《礼记》中的一篇，南宋教宗淳熙年间(1171—1189)，朱熹把《大学》列人他所撰《四书章句集注》中，从此成为“四书”之一。 《大学》中认为， “格物”才能“致知”，致知必须“诚意”，而诚意在于“正心”。正心就是指心意正中不偏，纯直不邪，单一不紊。否则，就是“心不在焉”．就会视而不见，听而不闻，食而未知其味。“正心’是“修身”’的关键，如果心不正，则不能“修身”，不能“修身”
玩转会客	8	传球失误脚“生气"如果你是足球爱好者，当你打开电视看足球赛时，经常会看到一些很熟悉的镜头。譬如说，后卫闪过人，一个球传给前面的队友，结果他那队友失误了，球落入了对方脚下，错失了大好良机。这时，那个失误的球员最常出现的情绪化反应就是跺脚、踢地、抓扯自己的头发，然后对着天空咒骂两句。 若传球失误的球员，则他常会手把头发往后一掠，抓抓后脑勺，然后踢起尘土，或猛踢任何脚边可踢的东西，以此表示自责。从身体语言看，这是脚“生气”了。踢地或踢任何幻想的对象。当你觉得生气、受挫、或困扰的时候，是不是会有想去踢门的那股冲动?我相信你多半是踢过的。你曾否轻踢着土地以无声表达
玩转会客	9	恋恋不舍——绝妙的告别会完客，谈完话，客方就该告辞了，主方便要送客走。无论是客还是主方，都不能动作太快，也不能露出喜出望外的表情，否则，就会给对方一种“啊，原来你早就想结束谈话呀!”的感觉。这样，就会影响你们的以后交往。最佳效果的告辞就是双方都在身体语言上显得恋恋不舍，以便对方留下深刻的印象。“恋恋不舍”一词，原指贪念荣禄，后演变为对人的依念之情。最早出自西汉司马迁的《史记·范睢蔡泽列传》。原文是：“公之所以得无死者，以绨袍恋恋，有故人之意，故释公。”在这里，就是以“恋恋”来喻贪婪荣禄。范睢(字叔)原是魏国人，因游说魏王，被魏国须贾谗言残害，后化名张禄入
玩转餐桌	1	能传递 650 种信息的“头”当你有了身体语言学的知识，你可能就经常有意无意地去观察他人的身体动作，并研究其中要表达的意思。这时，你会发现，这种观察是很有趣的一件事。甚至有时你自己就暗自发笑，当然别人不知道你是在笑什么。做这种观察的最好场合，就是宴会厅的餐桌上，各方客人的身体语言，简直是生动极了，一手资源。在我们观察别人的动作时，首先入目的是人的头部动作，这不仅是因为头长在整个身体的最上面、最显眼，更重要的是因为头部身体语言最多。迪斯蒙得·摩里斯曾经就人的头部身体语言问题，作过几千人的实例调查研究，结果发现，在多数人的身体接触中(他把信息传递也理解为一种
玩转餐桌	2	这老头活了一辈子还不会握手我说你可能不相信，有个老头，其实还不是一般的老头，而是一位退休的局级干部，虽然他与别人握了一辈子手，但到成了老头的时候，反倒在握手上出了洋相。他老伴说他：“活了一辈子还没学会握手。”事情出在一次聚会上。那是那位退休局长参加的一次同乡聚会。在客人中，有一位大老板，随身带着一位走路恰似风摆柳一样飘柔的女秘书。客人早已到齐，单等这位大老板一到就开席，所以，当大老板出现的时候，大家都站起来以示热情并一一去与大老板握手。那位退休局长第三个与大老板握手。互相都握得很热情、很投入，可能手心都捏出了汗来才松手。本来前面已握过的两人都只跟大老板握
玩转餐桌	3	眼睛会说话，但却不如手手啊手，天天在“说话”，总也“说”不够。一位西方身体语言学专家，在对人的手在传递信息中的作用进行观察分析后说：“过去，都说‘眼睛比嘴巴更会说话’，其实，眼睛那里能赶得上手呢?应当改成‘手比嘴巴更会说话’才对”。宴会上，是手“说话”最多的场合之一。主宾之间见面首先要握手，甚至没握之前老远就先招手，客人们之间也是握手相见或拱手相让。交谈中，夸谁好常伸出手上的大拇指，要贬谁，有时摇摇小指头。还有，抽烟要用手，端碗要用手，拿筷子要用手，敬酒也还是要用手。总之，如果你有意去观察宴会厅里的那些手，要是你懂得身体语言学，那么，你会觉得妙趣横生；要
玩转餐桌	4	写着个性的下巴要是你经常出席宴会等人多的场合，那么，你也会经常碰到第一次见面的人。你对他并不了解，但又必须作些交谈，这往往是同桌而餐的需要。这时，你应通过身体形态对对方作个大概地了解。 比方说，了解一下此人好不好接触，这只要观察一下他的下巴就可知道个八九不离十了。下巴的动作虽然极为细腻，但却能左右他人的印象。站在镜子前，将下巴抬高或缩起，会产生不同的判别印象，下巴抬高时，胸部及腹部都会突出，有骄恃、自大的样子；反之将下巴缩起，稍似驼背，个性上显得很懦弱、气馁，若此时观察对方，将会发现其眼球向上翻滚，仿佛怀疑心重。下巴与四肢组合的姿势也有关，对动物而言，甲
玩转餐桌	5	从餐桌选座位洞察心理柴斯特菲尔德在《给儿子的信》中写道：“学习就是借助阅读书籍而有所收获，然而在世界的知识中，最需要学习的确是如何洞察他人，同时得善加研究各色各样的人物。”那么，怎样去洞察他人呢?或者说，通过什么方法去洞察呢?柴斯特菲尔德却未道其详。然而，身体语言学倒是给人们提供了洞察他人的方法。许多学者都谈到，如果你准备乘坐飞机外出，那么，飞机场则是洞察各色人物的最好场所之一。当旅客抵达和离境时，你可以看见对飞行感到不安的女人不断地捏着自己的手，仿佛在安慰自己说：“不会有事的。”就好象人们常说：“我得捏捏自己，以确定这不是一场梦。”一个男人在等待离境时
玩转餐桌	6	浓眉大眼与贼眉鼠眼当我们形容某人漂亮时，常用“浓眉大眼”一词，而形容心术不正的人则用“贼眉鼠眼”。可见，“眉目传情”并非虚言。这就是说，眼眉可当作非常独特的一种表达手段，尤其是视线更表现着种种心态。譬如：长时间的凝视属于一种对“私生活”的侵害。 地痞流氓在打喳儿时常说“眼睛瞄什么瞄”，这就是故意拿别人一直盯向这边的行为，当作寻事的借口。追根究底，其并非毫无原因。因为不管有意或无意，将视线集中某处是作为一个人企图扩大其势力范围(地盘)，当然会感觉目光是那一部份已侵害到他自己的地盘了。另外，根据米歇尔·阿基利所写的《对人行动心理学》一书的观点，一个人与他人单
玩转餐桌	7	猪八戒上餐桌——狼吞虎咽人们在形容吃饭粗野的行为时，常用的一个词就是“狼吞虎咽”。如在《官场现形记》的第三十四回中写道：“不上一刻工夫，狼吞虎咽，居然吃个精光。”在《歧路灯》中也有“绍闻只得陪差人吃饭，几呷了几口汤儿，看那差人狼吞虎咽地吃。”这样的描写。在有些文学书籍中，也有把“狼吞虎咽”写作“虎咽狼吞”的。如在《西游记》的六十二回中形容猪八戒吃东西时的极其猛急的样子时写道：“你看八戒放开食嗓，真个是虎咽狼吞，将一席果菜之类，吃得个罄尽。”在第五十二回中又写道：“只见那大小群妖，一个个狼吞虎咽，正都吃东西哩。”当然，在各类书中，描写“雅吃”的词句也很多。
玩转餐桌	8	从选店、点菜、喝酒中看端倪选择什么样的饭店，怎样点菜，如何让客人喝好，但又不能自己喝醉，这些都是宴请时很费脑筋的事。(1)选店“应该在那里招待客户，才能说服他呢?”相信每个人都会有这样的烦恼。目前市面上有不少谈论待客之道的书籍问世，而有的杂志也有“接待术”的专文探讨，但是让我们来看看心理学上告诉我们的方法：第一、考虑对自己有利的立场→选择自己时常光顾的饭店。如果要获得选择地点的机会，你应该说“今天我来请客”，这样你便可以将客户带到自己熟悉的饭店，也等于将他带进自己的势力范围，握有地利的优点就有如在家一样得心应手。或许事前你也可同店主招呼一声，“这位是我重
玩转家庭	1	家庭探秘如果有几个人碰在一起，家里也好，社交场合也好，带头人的姿态便是集体的榜样，其他人会先后模仿。倘若妻子是姿态的带头人，可以推测，在家里她说了算，至少在作出决定时，她起主要作用。一位心理学家研究过一个 5 口之家吃饭时的席次，父亲坐在上首，他确实也是一家之长，妻子并不和他争家长之位，坐在他的右边，即使在吃饭时也能保持夫妻间的亲密关系。有趣的是孩子们的席位和姿态，最大的女儿无意识地在和母亲竞争，她也要取得父亲的宠爱，坐在父亲的左边，同时做出和母亲一样的姿态。最小的男孩对母亲感兴趣，这也是很正常的，所以他坐在母亲的右边，离父亲较远。第二个孩子也是姑娘，她
玩转家庭	2	由架“二郎腿"看出是否老婆当家对于腿部的姿势到底能传达多少种信息，学者们各有所见，众说纷纭，尚无定论。但是，有两点大家的看法是非常地一致。第一点，腿部有身体语言。关于这个结论，没有任何人怀疑。较常见的腿部动作是“抖动”或“摆动”。譬如：您与情人约会时，对方在约定的时间尚未现身，过了五分、十分钟之际，在您内心必然产生“情人果真会来吗?”之不安感，或是等待了几分钟便感到颓丧的焦躁感。那时候，您的脚一定开始做出小幅度的摆动。虽然有所谓“抖腿散财”的一般说法，可是，据调查结果显示，大多数人在十五分钟后都会开始这一动作。这一行为，在精神身体医学上，可以得到十分合理
玩转家庭	3	从得意忘形到乱了方寸我们常常用“得意忘形”一词来形容那些由于一时的成功而忘忽所以、不能自律的人。得意忘形是从“当其得意，忽忘形骸”而来。语见唐·房玄龄《晋书》卷四十九《阮籍列传》。在描述魏晋“竹林七贤”之一的阮籍时说：“志书宏散，傲然独得，任性不羁”，“闭户视书，累月不出；或登临山水，经日忘归。” “博览群籍，尤好老庄。”“嗜酒能啸，善弹琴。当其得意，忽忘形骸。”阮籍字嗣同，开封人，三国魏时诗人，曾为步兵校尉。阮籍生于魏晋换代之际，因感时伤乱，愤世疾俗，常纵酒谈玄，放浪不羁，得意时忘了自己，不得意时大哭若狂，任意任性，不受拘束。他的五言诗闻名于时。 东晋
玩转家庭	4	别给“第三者”插足留余地“第三者”插足的现象，已经成为一个威胁现代家庭稳定的不可忽视的因素。有的研究婚姻家庭的学者指出，“第三者”插足，是现在离婚率增高的一个重要原因。西方有的身体语言研究者在探讨脚的姿势所传递的信息时，发现两人面对面的站立交谈时，有着封闭性的亲密感，这时，实际上是把第三人封闭在这二人之外，不允许进入。要是两人侧面相对而立，则是开放性的非亲密关系，这是希望有第三人进入。这种观察运用于年轻夫妻的关系上，似乎也能成立。下面，我们就从脚的身体语言信息谈起。无论其当事人如何装出扑克脸(没有表情)，足部往往会无视当事人的“主张”，而不自觉地将其“本
玩转家庭	5	用“体语"跟动物“讲话"西方某大学一对科学家夫妇艾伦·加德纳和比阿特丽斯·加德纳的研究表明，人体语言的历史十分悠久。加德纳夫妇要教猩猩说话，他们研究了许多行为学家失败的教训，因此不用文字语言，而是采用动作和姿势。他们相信，非文字语言是动物行为的组成部分，猴子对人体语言的熟悉足以使人类和它们进行通讯，而猩猩的模仿能力更强，且惯用右手。 加德纳夫妇决定采用美国北部聋哑人所用的哑语对一只名叫沃休的雌性小猩猩上课。这只猩猩完全可以在加德纳夫妇的家里自由地活动，它有玩具，并受到亲热的照料。在它周围的人也只用哑语互相打交道。沃休不久就开始模仿周围人的动作和姿势，但是
玩转家庭	6	没有观众的表演身体语言学者卡莱罗曾说过：“打电话是没有观众的表演。”尤其是在自己家里打电话，更是这样。我们经常不自觉地动作者，不论有没有人在看。这种情形尤以打电话时最为明显。打电话时，你可曾注意过话筒上的电话线?它可能是缠扭着的。不论你是左撇子或右撇子，你常会不经意地将话筒由这只手换到那只手，以便空下另一只手整理电话线。当谈话越来越兴奋、顿挫、激动、或什么的，你可以观察到这些动作会越来越多且越来越频繁。如下人们在打电话时常表现出来的动作。涂鸭。恐怕很少人能指出有谁在打电话时不信手乱划些文字、数字、线条或圈圈等等的。心不在焉的人可以一面讲电话，一面写出一些
玩转家庭	7	在家里，男女平等难“妇女要解放”，“男女要平等”，这是世界妇女解放运动中最为响亮的口号。但是，要真正实现这些口号，是非常不容易的。在家庭，妻子被称为“主妇”。而主妇的含义并不是说她就是一家之主，而往往是指家务应由妇女为主来承担。这叫男人“主外”，女人“主内”。由于这种分工，就容易造成大男子主义，即男人是一家之主，女人是附属于男人的。一旦出现了这样的夫妻心理，家庭的身体语言就会反映出来。比方说，吃饭时，丈夫理直气壮地坐在饭桌的“首席”上，新上来的莱，一般也是丈夫先动筷。更明显的是，如果丈夫在家中跷着“二郎腿”看电视，妻子从外边回来，丈夫并不会立即改变这种姿
玩转舞会	1	先要知道女士是否喜欢你某位先生想请一位小姐跳一曲，他会先向她投去目光，观察一下对方的反应后再决定是否去邀请。当她的目光与这位先生交会时，一般她都能领会他准备邀请的意思。如果她不想跟那位先生跳，一般会迅速移开目光，并伴随着做出别的一些拒绝的动作。因此，学会察颜观色是必要的。下面介绍一些身体动作反映出的心态。请你先仔细观察一下她的坐姿。如果她采取的姿势，那就是说：“我对你有好感，正等待你来邀”。如果她采取“客厅式”坐姿那就是告诉你：“我有点累了，需要休息一下，但要是你真的来请我，也可以陪你跳一曲。”遇到这样的女士，请不请她人池，就由你来定了。只要你请，她会给
玩转舞会	2	被冷落的漂亮妞常言道：“爱美之心，人皆有之。”所以，在舞场上，漂亮女士的“行情”总比不漂亮的好。一般人都会这么认为，但实际上也不尽然。西方有位研究者专门观察了舞场的情况。他说，有些漂亮女子是很难接近的，然而她们的内心却在等待着。什么原因呢?问题就出在身体语言上。这位研究者写道：在一次舞会上，我观察了一位极其漂亮的姑娘。我看见她和一个女朋友站在墙边，她高傲、冷漠，就像童话中的白雪公主一样不可接近。我认识这位姑娘，我知道她根本不是这种人，后来我问她为什么要装得那么孤高。“我不可接近?”这位姑娘感到惊讶地说，“那么那些小伙子呢?没有一个过来和我交谈。我平生很喜
玩转舞会	3	当男女相互触摸之后美国身体语言学研究者朱利·法思特曾在一本书中讲述了下面这些有趣的故事：我有一位朋友是心理学家，有一次举行鸡尾酒会，他向所有客人分寄了邀请参加“沉默的鸡尾酒会”的请帖，请帖上写着：“你们可以碰触、嗅闻、品尝、观看，但你们不许说话，我们将度过一个非文字通讯的晚上。”我和妻子起先对这种做作的邀请有点反感，但又觉得却之不恭，因而还是出席了酒会。出乎意料，我们被这沉默酒会迷住了。房间里的所有坐具全被事先搬走，没有一个可坐的地方，客人们要么站着，要么走来走去。人们跳舞、打手势、做动作、变脸、打哑迷……在所有的客人中，我们只认识一对夫妇，与其他人结识
玩转舞会	4	跳舞似游泳，舞池似泳池身体语言在舞会上有着非常重要的作用，因为舞伴间在跳的过程中，各自要向对方表达什么想法，都是通过动作来完成的。世界许多民族都有独具风格的舞蹈。现在流行的社交舞蹈，多为男女对舞的舞会舞蹈形式。有些人由于不知道舞会上的身体语言，常常闹笑话，往往是乘兴而来，败兴而归。交谊舞会上要注意哪些非语言的沟通呢?首先需要注意服装的整洁，刮光胡子，理好头发，擦亮皮鞋。这些传达出的信息是：魅力。舞会上要优先让女方入座，女方站着、男方却坐着或男方抢女方的座位都是无礼的。 音乐声起，男方至女方面前，点头或鞠躬，右手前伸，表示邀请；女方应站起来接受邀请，一起步
玩转舞会	5	这姿势，舞伴们会觉得你太狂傲狂傲的形象故原与人的站或坐的姿势有关，但主要还是表现在上肢部位的动作上。我们在紧张、精神不安时，常会藉由身体与他人接触来缓和心情。例如受惊时，往往潜意识里会想抓住他人身躯，以求庇护。若无人在身边时，也会抓住自己。这时候自己的手，仿佛是一个极具有安全感的手。而自我接触的典型例子，即为将两手插放。插手通常有二种意思，且手插得愈深，也表示心理压力愈重。第一、表示此刻心情正局促不安、恐慌。例如在工作中出现差错等。当心理压力愈重，则除了手臂插起，身体也会稍微晃动。第二、正处于戒奋的状态，似保镖般的插着手。表示想将对方赶出去，或不与他交谈
玩转舞会	6	眼神及其在舞场上的运用劳夫·瓦多·爱默生说：“人的眼睛和舌头说的话一样多，不需要字典，却能够从眼睛的语言中了解整个世界。”在舞场上，谁也不会大声喧哗或滔滔不绝的说个没完，许多意思，都是用眼睛说出。所以，我们先来了解一下眼神及在舞场上的应用。只有注视到对方的眼睛，彼此的沟通才会建立。有些人在与我们谈话时会使我们感觉很舒服，有些人却会令我们不自在，有些人甚至会看起来不值得信任。这主要是与对方注视我们时间的长短有关。当对方与自己目光接触时间超过全部谈话时间的三分之二，这可能意味着以下两种情形：第一，对方认为你很吸引人，这情形可能包含了瞳孔的扩张，第二，对方怀有
玩转舞会	7	千万莫“盯"人如果有人“盯”着你看，你一定很反感，甚至会产生敌意。在舞场上，有的男士想邀请某女士跳舞，但又吃不准对方的态度，于是，就可能盯她一会。一旦女士发觉你在盯她，她内心里就会生出一种厌恶你的情绪，即使勉强应邀跳一曲，她也绝对不会很投入。所以，千万莫“盯”人。在其他公共场所也一样。“看什么看?”这就是人被“盯”火了时发出的粗叫声。“盯”，换个说法就是“凝视”。关于凝视有两条规则：第一，我们不凝视人。第二，我们只凝视非人。我们可以凝视照片、雕塑、风景，我们也可到动物园去凝视狮子、猴子、大猩猩，我们爱凝视多久就凝视多久，爱怎么看就怎么看，但我们不能凝视人
玩转舞会	8	她的声音误导男性走入歧途日本有一位研究人体语言的学者，他对人的声音的作用进行了研究，认为姿态加声音等于魅力。他写道：我曾经到电视台去参加评审工作，在电视台的大厅中看到一大群既紧张又精神高昂、等待上电视节目的观众，到处都是闹哄哄的吵嘈声音；这时，我听到了节目主持人某某的清晰声音，这个清晰的声音清楚地穿过这些吵嘈的噪音，并且有着震慑压场的作用。这时，我恍然了解到，这声音就是他仗以成名的利器啊!他的音质优美，音量低沉而有力，充满堂堂正正的气象，再加上一口标准的京片子，清楚的语尾音，这些都是他能拥有广大忠实的爱护观念的原因，再说，他的外貌也非常潇洒，这也是许多女
玩转舞会	9	小姐，当心“色情幻迷"什么是色情幻迷呢?就是被某种色情幻想所迷惑，因而受骗上当，陷于无限的痛苦之中。据某杂志报道，有位二十一岁的女青年，是父母的独生女，视为掌上明珠。一切都由着她。她是一个性格开朗、热情活泼的姑娘。在一个工厂做青年团的工作。以前每天晚上都在家与父母一起看电视，或陪伴父母说话、散步。但在一个夏天里，父母发现女儿晚上在家看电视少了，总是吃完饭就骑车出去，到晚上十一点多才回家。父母自然不放心，问她为什么回来这么晚，她总说厂子里组织青年们活动。后来父母暗地了解发现，不是厂子里有活动，而是女儿每晚都去离家不远的一个舞厅跳舞。再进一步了解，这家舞厅风
玩转情场	1	从女人胸脯捕捉“性"信号在身体语言学者罗韦政编译的《肉体语言术》一书中，专门谈到“女性胸部发出“性信号”的问题。书中说，由于不断地进化，使男人和女人胸部的差异更为明显。男人以“宽厚的胸脯”或“毛茸茸的胸脯”来显示男子汉气慨。当男人终日挺着胸时，也不一定就有性意识，因为这是勇敢、刚强的象征。而女性则不然。当女性作出挺着胸脯姿势，特别是遇到男性把胸脯挺得更高者，多半是受潜在的性意识的指使。象征女性的最明显标志，是胸脯上的乳房，而女人在男人跟前挺胸，就是有意识地要把乳房弄得更显眼，以此引起男人的性兴奋，这正好也表明了她自身的性需求。关于这一点，迪斯蒙得·摩里斯
